# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 215         4.437       52.141      -1.10       Voorschoten 
# SQ        : Duur van de zonneschijn (in 0.1 uren) per uurvak; berekend uit globale straling  (-1 for <0.05 uur) / Sunshine duration (in 0.1 hour) during the hourly division; calculated from global radiation (-1 for <0.05 hour)
# Q         : Globale straling (in J/cm2) per uurvak / Global radiation (in J/cm2) during the hourly division
# STN,YYYYMMDD,H,   SQ,    Q
  215,20221001,    1,    0,    0
  215,20221001,    2,    0,    0
  215,20221001,    3,    0,    0
  215,20221001,    4,    0,    0
  215,20221001,    5,    0,    0
  215,20221001,    6,    0,    1
  215,20221001,    7,    2,   19
  215,20221001,    8,    3,   44
  215,20221001,    9,    6,   76
  215,20221001,   10,   10,  129
  215,20221001,   11,    6,  116
  215,20221001,   12,    8,  135
  215,20221001,   13,   10,  185
  215,20221001,   14,    9,  131
  215,20221001,   15,    9,   89
  215,20221001,   16,    2,   37
  215,20221001,   17,    7,   20
  215,20221001,   18,    0,    1
  215,20221001,   19,    0,    0
  215,20221001,   20,    0,    0
  215,20221001,   21,    0,    0
  215,20221001,   22,    0,    0
  215,20221001,   23,    0,    0
  215,20221001,   24,    0,    0
  215,20221002,    1,    0,    0
  215,20221002,    2,    0,    0
  215,20221002,    3,    0,    0
  215,20221002,    4,    0,    0
  215,20221002,    5,    0,    0
  215,20221002,    6,    0,    1
  215,20221002,    7,    0,   16
  215,20221002,    8,    0,   42
  215,20221002,    9,    0,   66
  215,20221002,   10,    6,  125
  215,20221002,   11,    8,  165
  215,20221002,   12,    5,  118
  215,20221002,   13,    9,  168
  215,20221002,   14,   10,  163
  215,20221002,   15,   10,  134
  215,20221002,   16,    8,   71
  215,20221002,   17,    7,   27
  215,20221002,   18,    0,    1
  215,20221002,   19,    0,    0
  215,20221002,   20,    0,    0
  215,20221002,   21,    0,    0
  215,20221002,   22,    0,    0
  215,20221002,   23,    0,    0
  215,20221002,   24,    0,    0
  215,20221003,    1,    0,    0
  215,20221003,    2,    0,    0
  215,20221003,    3,    0,    0
  215,20221003,    4,    0,    0
  215,20221003,    5,    0,    0
  215,20221003,    6,    0,    1
  215,20221003,    7,    0,    6
  215,20221003,    8,    0,   18
  215,20221003,    9,    6,  102
  215,20221003,   10,    3,   95
  215,20221003,   11,    0,   52
  215,20221003,   12,    0,   57
