OpnameDatum;StandNormaal;StandDal;TerugleveringNormaal;TerugleveringDal
2022-11-07;6016;7255;1647;743
2022-11-06;6016;7251;1647;743
2022-11-05;6016;7243;1647;741
2022-11-04;6011;7240;1645;741
2022-11-03;6008;7238;1643;741
2022-11-02;6004;7235;1639;741
2022-11-01;6002;7232;1635;741
2022-10-31;6000;7231;1632;741
2022-10-30;6000;7225;1632;739
2022-10-29;6000;7222;1632;736
2022-10-28;5998;7219;1629;736
2022-10-27;5992;7217;1628;736
2022-10-26;5989;7214;1625;736
2022-10-25;5986;7212;1622;736
2022-10-24;5982;7209;1620;736
2022-10-23;5982;7203;1620;735
2022-10-22;5982;7196;1620;732
2022-10-21;5979;7194;1617;732
2022-10-20;5974;7191;1617;732
2022-10-19;5970;7189;1611;732
2022-10-18;5968;7188;1606;732
2022-10-17;5963;7186;1606;732
2022-10-16;5963;7183;1606;727
2022-10-15;5963;7177;1606;725
2022-10-14;5962;7176;1604;725
2022-10-13;5959;7175;1604;725
2022-10-12;5957;7173;1598;725
2022-10-11;5955;7171;1595;725
2022-10-10;5953;7169;1593;725
2022-10-09;5953;7163;1593;719
2022-10-08;5953;7158;1593;714
2022-10-07;5951;7155;1590;714
2022-10-06;5949;7152;1582;714
2022-10-05;5947;7149;1580;714
2022-10-04;5946;7147;1574;714
2022-10-03;5942;7144;1572;714
2022-10-02;5942;7138;1572;708
2022-10-01;5942;7132;1572;703
2022-09-30;5941;7129;1566;703
2022-09-29;5939;7126;1557;703
2022-09-28;5936;7123;1552;703
2022-09-27;5934;7121;1551;703
2022-09-26;5928;7119;1550;703
2022-09-25;5928;7114;1550;698
2022-09-24;5928;7110;1550;696
2022-09-23;5925;7107;1546;696
2022-09-22;5922;7104;1537;696
2022-09-21;5921;7101;1530;696
2022-09-20;5918;7098;1522;696
2022-09-19;5917;7097;1515;696
2022-09-18;5917;7091;1515;694
2022-09-17;5917;7087;1515;686
2022-09-16;5916;7085;1509;686
2022-09-15;5914;7082;1505;686
2022-09-14;5912;7080;1500;686
2022-09-13;5911;7077;1492;686
2022-09-12;5910;7074;1482;686
2022-09-11;5910;7071;1482;677
2022-09-10;5910;7066;1482;669
2022-09-09;5908;7063;1480;669
2022-09-08;5906;7060;1473;669
2022-09-07;5905;7058;1463;669
2022-09-06;5903;7055;1453;669
2022-09-05;5901;7053;1444;669
2022-09-04;5901;7047;1444;663
2022-09-03;5901;7044;1444;652
2022-09-02;5899;7041;1433;652
2022-09-01;5898;7038;1421;652
2022-08-31;5896;7035;1409;652
2022-08-30;5895;7032;1397;652
2022-08-29;5894;7029;1389;652
2022-08-28;5894;7026;1389;642
2022-08-27;5894;7022;1389;638
